2026-05-04 21:33:30 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-04 21:33:30 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-04 21:33:30 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-04 21:33:30 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 21:33:32 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-04 21:33:48 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Reusing existing inference engine (config hash: 77a95255)
2026-05-04 21:33:48 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-04 21:33:48 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 21:33:48 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-04 21:33:48 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-04 21:33:48 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Recreated retriever with search_type=mmr
2026-05-04 21:33:48 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 21:33:49 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-04 21:34:04 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Reusing existing inference engine (config hash: 77a95255)
2026-05-04 21:34:04 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-04 21:34:04 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 21:34:04 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-04 21:34:04 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-04 21:34:04 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Recreated retriever with search_type=mmr
2026-05-04 21:34:05 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 21:34:06 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-04 21:34:20 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Reusing existing inference engine (config hash: 77a95255)
2026-05-04 21:34:20 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-04 21:34:20 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 21:34:20 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-04 21:34:20 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-04 21:34:20 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Recreated retriever with search_type=mmr
2026-05-04 21:34:20 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 21:34:22 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-04 21:34:38 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Reusing existing inference engine (config hash: 77a95255)
2026-05-04 21:34:38 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-04 21:34:38 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 21:34:38 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-04 21:34:38 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-04 21:34:38 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Recreated retriever with search_type=mmr
2026-05-04 21:34:38 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 21:34:40 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [exp2-rapidfire-full-evaluation_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
